time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-20T23:50:44.205Z,19.4512,101.3449,10,6.1,mww,,33,2.356,0.77,us,us70006ara,2019-11-22T18:10:23.564Z,"31km ESE of Chaloem Phra Kiat, Thailand",earthquake,6.8,1.8,0.089,12,reviewed,us,us
2019-11-20T23:19:50.170Z,18.08,-68.4848,49,2.93,md,4,218,1.3771,0.27,pr,pr2019324028,2019-11-21T09:01:15.145Z,"35km SSE of Boca de Yuma, Dominican Republic",earthquake,3.03,9.08,0.44,4,reviewed,pr,pr
2019-11-20T23:07:28.030Z,19.5555,-68.1553,16,3.39,md,10,245,1.5079,0.29,pr,pr2019324029,2019-11-21T09:03:07.241Z,"110km NNE of Punta Cana, Dominican Republic",earthquake,3.19,5.31,0.18,10,reviewed,pr,pr
2019-11-20T23:03:33.690Z,18.3633,-66.0585,8,2.83,md,4,212,0.3048,0.15,pr,pr2019324027,2019-11-21T09:00:41.330Z,"5km E of Guaynabo, Puerto Rico",earthquake,1.54,2.48,0.09,3,reviewed,pr,pr
2019-11-20T22:56:22.730Z,35.6838333,-117.5148333,9.19,2.68,ml,34,63,0.07587,0.16,ci,ci38254682,2019-11-20T23:38:46.892Z,"14km SW of Searles Valley, CA",earthquake,0.26,0.51,0.191,25,automatic,ci,ci
2019-11-20T22:51:10.400Z,35.6813333,-117.5153333,8.89,3.34,ml,70,46,0.07361,0.17,ci,ci38254674,2019-11-21T17:22:45.520Z,"14km SW of Searles Valley, CA",earthquake,0.12,0.27,0.149,272,reviewed,ci,ci
2019-11-20T22:50:20.150Z,19.0221,-65.7968,25,2.9,md,7,308,0.7686,0.25,pr,pr2019324026,2019-11-21T02:07:38.677Z,"65km N of Loiza, Puerto Rico",earthquake,1.43,17.34,0.21,7,reviewed,pr,pr
2019-11-20T22:36:51.980Z,17.9748,-68.6298,84,2.85,md,4,230,1.5205,0.21,pr,pr2019324025,2019-11-21T02:07:06.869Z,"44km S of Boca de Yuma, Dominican Republic",earthquake,3.05,4.03,0.36,4,reviewed,pr,pr
2019-11-20T22:31:35.522Z,6.7538,125.0024,10,4.6,mb,,65,0.652,0.87,us,us70006aqe,2019-11-21T04:02:13.416Z,"9km NE of Columbio, Philippines",earthquake,5.2,1.7,0.111,24,reviewed,us,us
2019-11-20T22:31:32.110Z,19.0588,-65.7848,25,2.89,md,9,311,0.8071,0.14,pr,pr2019324023,2019-11-21T02:06:15.381Z,"69km N of Suarez, Puerto Rico",earthquake,0.94,12.37,0.16,9,reviewed,pr,pr
2019-11-20T22:27:18.490Z,19.0416,-65.8076,24,2.96,md,13,297,0.7829,0.27,pr,pr2019324024,2019-11-21T04:06:04.159Z,"67km N of Loiza, Puerto Rico",earthquake,1.25,18.81,0.48,13,reviewed,pr,pr
2019-11-20T21:27:12.389Z,45.4871,95.922,10,4.5,mb,,53,8.016,0.62,us,us70006ap3,2019-11-20T22:20:49.040Z,"9km SSE of Tseel, Mongolia",earthquake,9.2,1.9,0.1,29,reviewed,us,us
2019-11-20T21:19:24.274Z,19.412,101.3851,10,4.6,mb,,109,2.383,0.68,us,us70006any,2019-11-21T04:27:07.302Z,"36km ESE of Chaloem Phra Kiat, Thailand",earthquake,3.7,1.9,0.193,8,reviewed,us,us
2019-11-20T21:03:57.749Z,19.4377,101.2241,10,5.7,mww,,49,2.243,0.99,us,us70006anm,2019-11-21T21:06:00.291Z,"21km SE of Chaloem Phra Kiat, Thailand",earthquake,5.8,1.8,0.08,15,reviewed,us,us
2019-11-20T19:02:43.165Z,45.0223,146.9547,146.01,4.8,mb,,137,3.245,0.78,us,us70006ala,2019-11-20T19:52:06.040Z,"76km WSW of Kuril'sk, Russia",earthquake,9.2,7.2,0.041,182,reviewed,us,us
2019-11-20T18:51:14.195Z,18.929,145.1173,607.78,4.9,mb,,43,3.723,0.86,us,us70006akx,2019-11-20T19:16:13.040Z,"60km WNW of Agrihan, Northern Mariana Islands",earthquake,10.4,4.6,0.029,375,reviewed,us,us
2019-11-20T18:43:32.529Z,-20.4679,33.6255,10,4.3,mb,,82,6.12,0.78,us,us70006aks,2019-11-20T20:21:12.040Z,"108km SE of Chimanimani, Zimbabwe",earthquake,10.3,2,0.238,5,reviewed,us,us
2019-11-20T18:14:46.580Z,19.0003,-65.794,11,2.84,md,10,307,0.7495,0.26,pr,pr2019324018,2019-11-20T20:58:11.993Z,"63km N of Vieques, Puerto Rico",earthquake,7.69,10.64,0.36,8,reviewed,pr,pr
2019-11-20T17:30:51.920Z,38.8246651,-122.7908325,2.7,2.65,md,26,48,0.01703,0.07,nc,nc73306636,2019-11-21T14:22:14.374Z,"6km W of Cobb, CA",earthquake,0.24,0.52,0.24,24,automatic,nc,nc
2019-11-20T17:07:19.720Z,18.962,-65.8545,8,2.94,md,11,302,0.692,0.22,pr,pr2019324019,2019-11-20T20:59:14.817Z,"58km N of Loiza, Puerto Rico",earthquake,2.25,3.3,0.32,10,reviewed,pr,pr
2019-11-20T16:13:31.910Z,19.0365,-65.799,24,2.93,md,8,311,0.7812,0.22,pr,pr2019324016,2019-11-21T00:01:43.040Z,"56km N of Loiza, Puerto Rico",earthquake,1.29,15.85,0.28,6,reviewed,pr,pr
2019-11-20T15:51:02.595Z,53.3432,-165.8683,35,3.4,ml,,211,0.629,0.33,us,us70006als,2019-11-20T23:57:26.317Z,"73km SE of Unalaska, Alaska",earthquake,4.3,2,0.115,10,reviewed,us,us
2019-11-20T14:25:43.528Z,72.8017,-89.7221,10,4.2,mb,,68,2.391,0.43,us,us70006aer,2019-11-21T06:37:11.057Z,"264km SE of Resolute, Canada",earthquake,7.1,1.9,0.097,30,reviewed,us,us
2019-11-20T14:07:33.440Z,19.5818,-65.9958,33,3.45,md,9,304,1.2268,0.28,pr,pr2019324014,2019-11-21T06:26:04.040Z,"114km N of San Juan, Puerto Rico",earthquake,2.009,18.61,0.17,8,reviewed,pr,pr
2019-11-20T14:06:55.496Z,10.9437,95.1507,10,4.6,mb,,151,2.464,0.45,us,us70006aek,2019-11-21T07:04:02.040Z,"274km ESE of Port Blair, India",earthquake,5.6,1.9,0.109,25,reviewed,us,us
